外催机构	案件号	委外催收方式	姓名	卡号	账号	城市（分行号）	交易日期	还款金额	业绩金额	当天委案剩余金额	系统当前余额	委托日期	是否满意	手数	币种	还款类型	案件来源	交易描述	委案时拖欠周期	实际委案金额	还款天数	特殊账户标记	美元汇率	换算后业绩金额	共债标识	数据日期	入账日期
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	城市（分行号）	20181025	690.59	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	671.54	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	541.26	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	531.13	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	564.91	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	554.72	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	581.24	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	772.55	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	659.17	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	761.52	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	726.8	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	50	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		挂失费返还	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	740.33	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	706.6	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
云南省分行	120150222107021436	司法诉讼	陈艳艳	6222530597387922	0590011130121142519	059	20181025	719.77	0	0	-8.45	20161114	满意	1	人民币元	贷方调整		利息贷方调整	M7	39044.43	11111	N	696.29	0		20181026	25-10月-18
